date,county,state,cases,deaths,type,SAH
2020-03-03,Contra Costa,California,1,0,Stay at home,0
2020-03-03,Humboldt,California,1,0,Stay at home,0
2020-03-03,Los Angeles,California,1,0,Stay at home,0
2020-03-03,Marin,California,1,0,Stay at home,0
2020-03-03,Napa,California,1,0,Stay at home,0
2020-03-03,Orange,California,3,0,Stay at home,0
2020-03-03,Placer,California,2,0,Stay at home,0
2020-03-03,Sacramento,California,3,0,Stay at home,0
2020-03-03,San Diego,California,1,0,Stay at home,0
2020-03-03,San Francisco,California,3,0,Stay at home,0
2020-03-03,San Mateo,California,1,0,Stay at home,0
2020-03-03,Santa Clara,California,11,0,Stay at home,0
2020-03-03,Solano,California,12,0,Stay at home,0
